,name,origin
0,Baltimore,American
1,Biffle,American
2,Biffle,American
3,Canine,American
4,Chia,American
5,Christianson,American
6,Courtland,American
7,Crownover,American
8,Daughenbaugh,American
9,Dimick,American
10,Dollar,American
11,Easterlin,American
12,Easterlin,American
13,Felch,American
14,Felch,American
15,Felch,American
16,Goleman,American
17,Goleman,American
18,Governor,American
19,Harjo,American
20,Harkleroad,American
21,Harkrader,American
22,Hipple,American
23,Hipple,American
24,Hipple,American
25,Imler,American
26,Imler,American
27,Kinderman,American
28,Kitelinger,American
29,Kitelinger,American
30,Kitelinger,American
31,Klish,American
32,Klish,American
33,Lakin,American
34,Lepley,American
35,Lepley,American
36,Malich,American
37,Pershing,American
38,Ridlehoover,American
39,Ridlehoover,American
40,Rodeheaver,American
41,Rodeheaver,American
42,Rodenbaugh,American
43,Sauerbrey,American
44,Settlemire,American
45,Settlemire,American
46,Strome,American
47,Thobe,American
48,Thobe,American
49,Van Every,American
