,name,origin
0,Abadi,Arabic
1,Abboud,Arabic
2,Almasi,Arabic
3,Amari,Arabic
4,Antar,Arabic
5,Antoun,Arabic
6,Arian,Arabic
7,Asfour,Arabic
8,Asfour,Arabic
9,Asghar,Arabic
10,Asker,Arabic
11,Aswad,Arabic
12,Aswad,Arabic
13,Atiyeh,Arabic
14,Attia,Arabic
15,Awad,Arabic
16,Awad,Arabic
17,Awad,Arabic
18,Ba,Arabic
19,Baba,Arabic
20,Bahar,Arabic
21,Bahar,Arabic
22,Basara,Arabic
23,Baz,Arabic
24,Bishara,Arabic
25,Bitar,Arabic
26,Botros,Arabic
27,Boulos,Arabic
28,Boutros,Arabic
29,Cham,Arabic
30,Dagher,Arabic
31,Daher,Arabic
32,Deeb,Arabic
33,Essa,Arabic
34,Fakhoury,Arabic
35,Ganem,Arabic
36,Ganim,Arabic
37,Gerges,Arabic
38,Ghannam,Arabic
39,Guirguis,Arabic
40,Hadad,Arabic
41,Haddad,Arabic
42,Haik,Arabic
43,Hajjar,Arabic
44,Hakimi,Arabic
45,Halabi,Arabic
46,Hanania,Arabic
47,Handal,Arabic
48,Harb,Arabic
49,Isa,Arabic
50,Totah,Arabic
51,Touma,Arabic
52,Tuma,Arabic
53,Wasem,Arabic
54,Zogby,Arabic
