,name,origin
0,Abajian,Armenian
1,Abrahamian,Armenian
2,Adamian,Armenian
3,Agopian,Armenian
4,Ajemian,Armenian
5,Akopyan,Armenian
6,Alexanian,Armenian
7,Andonian,Armenian
8,Apkarian,Armenian
9,Aprahamian,Armenian
10,Arabian,Armenian
11,Arakelian,Armenian
12,Arslanian,Armenian
13,Artinian,Armenian
14,Arutyunyan,Armenian
15,Aslanian,Armenian
16,Atamian,Armenian
17,Avakian,Armenian
18,Avedisian,Armenian
19,Ayvazian,Armenian
20,Azarian,Armenian
21,Babayan,Armenian
22,Bagdasarian,Armenian
23,Balian,Armenian
24,Baronian,Armenian
25,Barsamian,Armenian
26,Basmajian,Armenian
27,Bedrosian,Armenian
28,Bedrossian,Armenian
29,Berberian,Armenian
30,Boghosian,Armenian
31,Boghossian,Armenian
32,Bogosian,Armenian
33,Boyadjian,Armenian
34,Boyajian,Armenian
35,Danielian,Armenian
36,Davidian,Armenian
37,Demirjian,Armenian
38,Derderian,Armenian
39,Derian,Armenian
40,Donabedian,Armenian
41,Dorian,Armenian
42,Garabedian,Armenian
43,Gasparian,Armenian
44,Georgian,Armenian
45,Georgian,Armenian
46,Gharibian,Armenian
47,Ghazarian,Armenian
48,Gregorian,Armenian
49,Grigorian,Armenian
50,Petrossian,Armenian
51,Petrosyan,Armenian
52,Samuelian,Armenian
53,Sarafian,Armenian
54,Sarkissian,Armenian
55,Sarkisyan,Armenian
56,Shahinian,Armenian
57,Simonian,Armenian
58,Stepanian,Armenian
59,Surabian,Armenian
60,Tanielian,Armenian
61,Tarpinian,Armenian
62,Tashjian,Armenian
63,Tavitian,Armenian
64,Terzian,Armenian
65,Topalian,Armenian
66,Torosian,Armenian
67,Torossian,Armenian
68,Torosyan,Armenian
69,Vartanian,Armenian
70,Zakarian,Armenian
