,name,origin
0,Abela,Catalan
1,Abella,Catalan
2,Abella,Catalan
3,Abello,Catalan
4,Agosti,Catalan
5,Alas,Catalan
6,Albo,Catalan
7,Alemany,Catalan
8,Alemany,Catalan
9,Almaguer,Catalan
10,Andreu,Catalan
11,Anglada,Catalan
12,Angles,Catalan
13,Arballo,Catalan
14,Arment,Catalan
15,Arment,Catalan
16,Avella,Catalan
17,Balaguer,Catalan
18,Balda,Catalan
19,Balent,Catalan
20,Balle,Catalan
21,Balles,Catalan
22,Ballester,Catalan
23,Balmes,Catalan
24,Bara,Catalan
25,Barbara,Catalan
26,Barber,Catalan
27,Barbera,Catalan
28,Barcelo,Catalan
29,Barcelona,Catalan
30,Baro,Catalan
31,Bartoli,Catalan
32,Bas,Catalan
33,Basa,Catalan
34,Basso,Catalan
35,Bauza,Catalan
36,Bello,Catalan
37,Bellot,Catalan
38,Belmont,Catalan
39,Benet,Catalan
40,Bera,Catalan
41,Berber,Catalan
42,Bernal,Catalan
43,Bertoli,Catalan
44,Besso,Catalan
45,Blau,Catalan
46,Blay,Catalan
47,Bobe,Catalan
48,Bolla,Catalan
49,Bolser,Catalan
50,Cornella,Catalan
51,Cort,Catalan
52,Cosco,Catalan
53,Cova,Catalan
54,Crespi,Catalan
55,Cua,Catalan
56,Curet,Catalan
57,Curt,Catalan
58,Curto,Catalan
59,De Gonia,Catalan
60,De la Riva,Catalan
61,Delcamp,Catalan
62,Delmar,Catalan
63,Delmont,Catalan
64,Delos,Catalan
65,Domenech,Catalan
66,Dona,Catalan
67,Dones,Catalan
68,Donis,Catalan
69,Duch,Catalan
70,Escutia,Catalan
71,Esteve,Catalan
72,Fabregas,Catalan
73,Farran,Catalan
74,Farro,Catalan
75,Feliu,Catalan
76,Ferra,Catalan
77,Ferran,Catalan
78,Ferrand,Catalan
79,Ferre,Catalan
80,Ferrer,Catalan
81,Ferrero,Catalan
82,Figueras,Catalan
83,Fonda,Catalan
84,Fons,Catalan
85,Forner,Catalan
86,Fornes,Catalan
87,Frutos,Catalan
88,Fuster,Catalan
89,Gaeta,Catalan
90,Galo,Catalan
91,Galvis,Catalan
92,Gandia,Catalan
93,Garriga,Catalan
94,Garro,Catalan
95,Gasch,Catalan
96,Gelpi,Catalan
97,Genis,Catalan
98,Gines,Catalan
99,Giro,Catalan
100,Masias,Catalan
101,Masso,Catalan
102,Mata,Catalan
103,Matas,Catalan
104,Mates,Catalan
105,Mato,Catalan
106,Maura,Catalan
107,Mauri,Catalan
108,Mauri,Catalan
109,Maya,Catalan
110,Mayner,Catalan
111,Mayol,Catalan
112,Mayor,Catalan
113,Melcer,Catalan
114,Melia,Catalan
115,Mestre,Catalan
116,Milla,Catalan
117,Millet,Catalan
118,Mir,Catalan
119,Mira,Catalan
120,Miro,Catalan
121,Miser,Catalan
