,name,origin
0,Angove,Cornish
1,Angwin,Cornish
2,Argus,Cornish
3,Bligh,Cornish
4,Bolitho,Cornish
5,Bosanko,Cornish
6,Cardy,Cornish
7,Carew,Cornish
8,Carlyon,Cornish
9,Carne,Cornish
10,Chenoweth,Cornish
11,Chenowith,Cornish
12,Chynoweth,Cornish
13,Couch,Cornish
14,Cuff,Cornish
15,Curnow,Cornish
16,Eudy,Cornish
17,Geen,Cornish
18,Grose,Cornish
19,Gummo,Cornish
20,Keast,Cornish
21,Kellow,Cornish
22,Kevern,Cornish
23,Kimbrel,Cornish
24,Kimbrell,Cornish
25,Kitto,Cornish
26,Lamphier,Cornish
27,Lanyon,Cornish
28,Lower,Cornish
29,Moon,Cornish
30,Moyle,Cornish
31,Nancarrow,Cornish
32,Nankervis,Cornish
33,Opie,Cornish
34,Oppy,Cornish
35,Pedrick,Cornish
36,Pengelly,Cornish
37,Penhollow,Cornish
38,Penna,Cornish
39,Penrose,Cornish
40,Pethick,Cornish
41,Polkinghorn,Cornish
42,Polkinghorne,Cornish
43,Prideaux,Cornish
44,Quick,Cornish
45,Retallick,Cornish
46,Rosevear,Cornish
47,Roskelley,Cornish
48,Sholl,Cornish
49,Skewes,Cornish
