,name,origin
0,Agard,Danish
1,Ager,Danish
2,Agner,Danish
3,Alling,Danish
4,Amundsen,Danish
5,Andersen,Danish
6,Andreassen,Danish
7,Anker,Danish
8,Antonsen,Danish
9,Arntzen,Danish
10,Asmus,Danish
11,Asmussen,Danish
12,Axelsen,Danish
13,Bacher,Danish
14,Backer,Danish
15,Bagge,Danish
16,Balle,Danish
17,Balling,Danish
18,Bang,Danish
19,Bank,Danish
20,Bank,Danish
21,Bank,Danish
22,Basse,Danish
23,Bech,Danish
24,Bekker,Danish
25,Bendt,Danish
26,Bergesen,Danish
27,Berndsen,Danish
28,Bernsen,Danish
29,Berthelsen,Danish
30,Beske,Danish
31,Bidstrup,Danish
32,Bihl,Danish
33,Bille,Danish
34,Bille,Danish
35,Biller,Danish
36,Billing,Danish
37,Bing,Danish
38,Birk,Danish
39,Birky,Danish
40,Bissen,Danish
41,Bjorn,Danish
42,Bjornsen,Danish
43,Black,Danish
44,Bloch,Danish
45,Blomberg,Danish
46,Bo,Danish
47,Bode,Danish
48,Boe,Danish
49,Bohr,Danish
50,Drewes,Danish
51,Drews,Danish
52,Drost,Danish
53,Due,Danish
54,Duer,Danish
55,Duus,Danish
56,Ege,Danish
57,Egeberg,Danish
58,Eilert,Danish
59,Eilertsen,Danish
60,Eliasen,Danish
61,Eliassen,Danish
62,Erichsen,Danish
63,Ericksen,Danish
64,Espersen,Danish
65,Faaborg,Danish
66,Fano,Danish
67,Farver,Danish
68,Felsing,Danish
69,Fey,Danish
70,Finne,Danish
71,Fiske,Danish
72,Floor,Danish
73,Fly,Danish
74,Fogt,Danish
75,Foss,Danish
76,Frederiksen,Danish
77,Frieberg,Danish
78,Frier,Danish
79,Frisk,Danish
80,Froberg,Danish
81,From,Danish
82,Fugleberg,Danish
83,Gad,Danish
84,Gade,Danish
85,Garbers,Danish
86,Gilberg,Danish
87,Gram,Danish
88,Grand,Danish
89,Greisen,Danish
90,Gulbransen,Danish
91,Gulliksen,Danish
92,Gundersen,Danish
93,Gunst,Danish
94,Gustavsen,Danish
95,Haagen,Danish
96,Haagensen,Danish
97,Hagemann,Danish
98,Hansen,Danish
99,Hanssen,Danish
100,Kaysen,Danish
101,Kemner,Danish
102,Ketelsen,Danish
103,Kindberg,Danish
104,Kirkeby,Danish
105,Kirkegaard,Danish
106,Klausen,Danish
107,Knudsen,Danish
108,Kofoed,Danish
109,Kong,Danish
110,Krag,Danish
111,Kragh,Danish
112,Krebs,Danish
113,Kring,Danish
114,Kronholm,Danish
115,Lage,Danish
116,Lam,Danish
117,Langager,Danish
118,Langhorne,Danish
119,Larsen,Danish
120,Lassen,Danish
121,Laxson,Danish
122,Leer,Danish
123,Leer,Danish
124,Lemming,Danish
125,Lennert,Danish
126,Lerche,Danish
127,Lerche,Danish
128,Leth,Danish
129,Lisby,Danish
130,Lodahl,Danish
131,Loft,Danish
132,Lorensen,Danish
133,Ludvigsen,Danish
134,Lyng,Danish
135,Madsen,Danish
136,Magleby,Danish
137,Magnussen,Danish
138,Marker,Danish
139,Markussen,Danish
140,Mathiasen,Danish
141,Mathiesen,Danish
142,Mattsen,Danish
143,Meier,Danish
144,Melgaard,Danish
145,Meng,Danish
146,Meng,Danish
147,Meyer,Danish
148,Michaelsen,Danish
149,Mickelsen,Danish
150,Skousen,Danish
151,Skov,Danish
152,Skow,Danish
153,Soenksen,Danish
154,Sogard,Danish
155,Sondergaard,Danish
156,Sonnichsen,Danish
157,Soren,Danish
158,Sorensen,Danish
159,Steffensen,Danish
160,Stephensen,Danish
161,Storjohann,Danish
162,Svendsen,Danish
163,Svenningsen,Danish
164,Sylvest,Danish
165,Taul,Danish
166,Thagard,Danish
167,Thang,Danish
168,Thomassen,Danish
169,Thoresen,Danish
170,Thorman,Danish
171,Thorsen,Danish
172,Thorup,Danish
173,Thrane,Danish
174,Thuesen,Danish
175,Thygesen,Danish
176,Tobiassen,Danish
177,Tranbarger,Danish
178,Tranberg,Danish
179,Truelsen,Danish
180,Ursin,Danish
181,Vester,Danish
182,Vong,Danish
183,Vork,Danish
184,Wangsgard,Danish
185,Weng,Danish
186,Wenstrup,Danish
187,Went,Danish
188,Wenzell,Danish
189,Westrup,Danish
190,Wilhelmsen,Danish
191,Willadsen,Danish
192,Williamsen,Danish
193,Winberg,Danish
194,Winding,Danish
195,With,Danish
196,Wivell,Danish
197,Work,Danish
