,name,origin
0,Aalbers,Dutch
1,Abela,Dutch
2,Abele,Dutch
3,Abeles,Dutch
4,Abrahamsen,Dutch
5,Achen,Dutch
6,Achter,Dutch
7,Achter,Dutch
8,Achterberg,Dutch
9,Acker,Dutch
10,Ackerman,Dutch
11,Addicks,Dutch
12,Adriance,Dutch
13,Akerman,Dutch
14,Akkerman,Dutch
15,Al,Dutch
16,Alberda,Dutch
17,Albers,Dutch
18,Alderink,Dutch
19,Alders,Dutch
20,Ale,Dutch
21,Alers,Dutch
22,Alkema,Dutch
23,Alles,Dutch
24,Alper,Dutch
25,Alsteen,Dutch
26,Ameling,Dutch
27,Amerman,Dutch
28,Amster,Dutch
29,Andries,Dutch
30,Andring,Dutch
31,Angeline,Dutch
32,Antone,Dutch
33,Antoon,Dutch
34,Apel,Dutch
35,Apel,Dutch
36,Appelman,Dutch
37,Apperson,Dutch
38,Appler,Dutch
39,Apps,Dutch
40,Ardon,Dutch
41,Arend,Dutch
42,Arends,Dutch
43,Arens,Dutch
44,Arent,Dutch
45,Ark,Dutch
46,Arno,Dutch
47,Art,Dutch
48,Artman,Dutch
49,Asselin,Dutch
50,Beckers,Dutch
51,Becking,Dutch
52,Beeck,Dutch
53,Beek,Dutch
54,Beek,Dutch
55,Beekman,Dutch
56,Beeks,Dutch
57,Beem,Dutch
58,Been,Dutch
59,Been,Dutch
60,Been,Dutch
61,Beerman,Dutch
62,Beers,Dutch
63,Beets,Dutch
64,Beets,Dutch
65,Beetz,Dutch
66,Behrend,Dutch
67,Behrends,Dutch
68,Behrendt,Dutch
69,Behrens,Dutch
70,Beil,Dutch
71,Beins,Dutch
72,Belger,Dutch
73,Benedix,Dutch
74,Bennink,Dutch
75,Bennis,Dutch
76,Bens,Dutch
77,Benschoter,Dutch
78,Berchem,Dutch
79,Beren,Dutch
80,Berendzen,Dutch
81,Bergen,Dutch
82,Bergh,Dutch
83,Bergh,Dutch
84,Berghuis,Dutch
85,Berk,Dutch
86,Berk,Dutch
87,Berke,Dutch
88,Berken,Dutch
89,Berkman,Dutch
90,Bernards,Dutch
91,Bernhard,Dutch
92,Berns,Dutch
93,Betke,Dutch
94,Betke,Dutch
95,Betker,Dutch
96,Beus,Dutch
97,Bever,Dutch
98,Beye,Dutch
99,Bick,Dutch
100,Boeve,Dutch
101,Boever,Dutch
102,Boevers,Dutch
103,Bogaard,Dutch
104,Bogaert,Dutch
105,Bogard,Dutch
106,Bogart,Dutch
