,name,origin
0,Aalto,Finnish
1,Aho,Finnish
2,Ahola,Finnish
3,Ahonen,Finnish
4,Annala,Finnish
5,Anttila,Finnish
6,Aro,Finnish
7,Arola,Finnish
8,Autio,Finnish
9,Couri,Finnish
10,Elo,Finnish
11,Erkkila,Finnish
12,Eskola,Finnish
13,Haapala,Finnish
14,Haataja,Finnish
15,Hakala,Finnish
16,Hakola,Finnish
17,Halko,Finnish
18,Halla,Finnish
19,Halla,Finnish
20,Halonen,Finnish
21,Halonen,Finnish
22,Hamalainen,Finnish
23,Hanka,Finnish
24,Hanninen,Finnish
25,Hannula,Finnish
26,Harju,Finnish
27,Hatala,Finnish
28,Hautala,Finnish
29,Heikkila,Finnish
30,Heikkinen,Finnish
31,Heino,Finnish
32,Heinonen,Finnish
33,Hietala,Finnish
34,Hiltunen,Finnish
35,Hokkanen,Finnish
36,Honkala,Finnish
37,Huhta,Finnish
38,Huhtala,Finnish
39,Huotari,Finnish
40,Jarvela,Finnish
41,Jarvi,Finnish
42,Jarvinen,Finnish
43,Jokela,Finnish
44,Joki,Finnish
45,Jokinen,Finnish
46,Juntunen,Finnish
47,Justi,Finnish
48,Jutila,Finnish
49,Kalas,Finnish
50,Lehto,Finnish
51,Lehtola,Finnish
52,Lehtonen,Finnish
53,Leino,Finnish
54,Leino,Finnish
55,Leinonen,Finnish
56,Lepisto,Finnish
57,Leppanen,Finnish
58,Leppo,Finnish
59,Linna,Finnish
60,Luoma,Finnish
61,Maijala,Finnish
62,Maijala,Finnish
63,Makela,Finnish
64,Maki,Finnish
65,Makinen,Finnish
66,Manner,Finnish
67,Manni,Finnish
68,Manninen,Finnish
69,Manninen,Finnish
70,Mantyla,Finnish
71,Marttila,Finnish
72,Mattila,Finnish
73,Maunu,Finnish
74,Mikkola,Finnish
75,Moilanen,Finnish
76,Murto,Finnish
77,Neva,Finnish
78,Nevala,Finnish
79,Niemela,Finnish
80,Niemi,Finnish
81,Nikula,Finnish
82,Niska,Finnish
83,Niskanen,Finnish
84,Niva,Finnish
85,Nurmi,Finnish
86,Oja,Finnish
87,Ojala,Finnish
88,Ollila,Finnish
89,Paavola,Finnish
90,Pakkala,Finnish
91,Palo,Finnish
92,Pelto,Finnish
93,Peltola,Finnish
94,Peltonen,Finnish
95,Perala,Finnish
96,Perko,Finnish
97,Pesola,Finnish
98,Peura,Finnish
99,Pietila,Finnish
100,Wirta,Finnish
101,Wirtanen,Finnish
102,Wuollet,Finnish
103,Wuori,Finnish
104,Ylitalo,Finnish
