,name,origin
0,Abbe,French
1,Acord,French
2,Acy,French
3,Adrien,French
4,Agard,French
5,Agee,French
6,Agen,French
7,Agent,French
8,Agent,French
9,Ager,French
10,Aguillard,French
11,Aguillon,French
12,Aide,French
13,Aime,French
14,Airoldi,French
15,Alarie,French
16,Alexandre,French
17,Alexis,French
18,Alice,French
19,Alix,French
20,Allaire,French
21,Allard,French
22,Alleman,French
23,Allemand,French
24,Alphonse,French
25,Altier,French
26,Amar,French
27,Ambroise,French
28,Amedee,French
29,Amiot,French
30,Amirault,French
31,Amy,French
32,Amyot,French
33,Ancar,French
34,Ancel,French
35,Ancel,French
36,Ancelet,French
37,Anctil,French
38,Andre,French
39,Andrepont,French
40,Andry,French
41,Ange,French
42,Ange,French
43,Angelle,French
44,Anger,French
45,Anger,French
46,Angers,French
47,Angevine,French
48,Angier,French
49,Angles,French
50,Autry,French
51,Auxier,French
52,Auzenne,French
53,Ave,French
54,Avis,French
55,Avril,French
56,Aydelotte,French
57,Aymond,French
58,Ayon,French
59,Babel,French
60,Babin,French
61,Babineau,French
62,Babineaux,French
63,Bacha,French
64,Bachand,French
65,Bacot,French
66,Badeau,French
67,Badeaux,French
68,Badie,French
69,Badie,French
70,Badon,French
71,Badour,French
72,Bady,French
73,Baillargeon,French
74,Bailly,French
75,Bain,French
76,Baise,French
77,Baize,French
78,Bal,French
79,Balay,French
80,Ballin,French
81,Ballou,French
82,Balon,French
83,Bandemer,French
84,Banet,French
85,Banse,French
86,Banville,French
87,Baptiste,French
88,Bara,French
89,Barbe,French
90,Barbe,French
91,Barbeau,French
92,Barbeau,French
93,Barbeau,French
94,Barbier,French
95,Barbin,French
96,Bard,French
97,Bard,French
98,Bard,French
99,Bardes,French
100,Baxa,French
101,Bayle,French
102,Bazil,French
103,Bazile,French
104,Bazin,French
105,Bazin,French
106,Bazin,French
107,Bazinet,French
108,Beal,French
109,Beau,French
110,Beaubien,French
111,Beaucage,French
112,Beauchemin,French
113,Beauchene,French
114,Beauchesne,French
115,Beaudet,French
116,Beaudin,French
117,Beaudoin,French
118,Beaudreau,French
119,Beaudrie,French
120,Beaudry,French
121,Beaulac,French
122,Beaulieu,French
123,Beaumier,French
124,Beauparlant,French
125,Beaupre,French
126,Beauregard,French
127,Beausoleil,French
128,Beauvais,French
129,Bebeau,French
130,Becotte,French
131,Bedard,French
132,Bedel,French
133,Befort,French
134,Beger,French
135,Begnaud,French
136,Begnoche,French
137,Begue,French
138,Beiriger,French
139,Belair,French
140,Belaire,French
141,Belan,French
142,Beland,French
143,Belanger,French
144,Belcourt,French
145,Belgard,French
146,Belgarde,French
147,Belhumeur,French
148,Belisle,French
149,Beliveau,French
150,Bernier,French
151,Bernot,French
152,Beron,French
153,Berrett,French
154,Berrien,French
155,Berrier,French
156,Berry,French
157,Berte,French
158,Berteau,French
159,Bertel,French
160,Berthelot,French
161,Berthiaume,French
162,Bertin,French
163,Bertolet,French
164,Berton,French
165,Bertran,French
166,Berube,French
167,Besancon,French
168,Bessett,French
169,Bessette,French
