,name,origin
0,Acuna,Galician
1,Aday,Galician
2,Agramonte,Galician
3,Agron,Galician
4,Agudelo,Galician
5,Aguiar,Galician
6,Amorin,Galician
7,Andal,Galician
8,Andon,Galician
9,Andrade,Galician
10,Aponte,Galician
11,Arceo,Galician
12,Ares,Galician
13,Aris,Galician
14,Arra,Galician
15,Avina,Galician
16,Bahamonde,Galician
17,Balboa,Galician
18,Barcia,Galician
19,Barela,Galician
20,Bares,Galician
21,Barra,Galician
22,Barreira,Galician
23,Barreiro,Galician
24,Barroso,Galician
25,Basquez,Galician
26,Bayona,Galician
27,Becerra,Galician
28,Bello,Galician
29,Boan,Galician
30,Botello,Galician
31,Bouza,Galician
32,Bran,Galician
33,Brea,Galician
34,Bugarin,Galician
35,Caamano,Galician
36,Cadavid,Galician
37,Caira,Galician
38,Caldas,Galician
39,Cales,Galician
40,Calo,Galician
41,Camba,Galician
42,Cambra,Galician
43,Cancio,Galician
44,Candia,Galician
45,Canlas,Galician
46,Canosa,Galician
47,Canton,Galician
48,Cardosa,Galician
49,Carreiro,Galician
50,Lucio,Galician
51,Lugo,Galician
52,Macedo,Galician
53,Marcelin,Galician
54,Marin,Galician
55,Martis,Galician
56,Mato,Galician
57,Mazon,Galician
58,Meda,Galician
59,Medal,Galician
60,Medin,Galician
61,Melendrez,Galician
62,Mella,Galician
63,Melle,Galician
64,Mendez,Galician
65,Mera,Galician
66,Mero,Galician
67,Millan,Galician
68,Millan,Galician
69,Mira,Galician
70,Miramontes,Galician
71,Mones,Galician
72,Montecalvo,Galician
73,Montelongo,Galician
74,Monteverde,Galician
75,Morquecho,Galician
76,Muniz,Galician
77,Naron,Galician
78,Navia,Galician
79,Neira,Galician
80,Noboa,Galician
81,Noia,Galician
82,Nova,Galician
83,Novoa,Galician
84,Noya,Galician
85,Ocampo,Galician
86,Ogas,Galician
87,Ovalle,Galician
88,Padin,Galician
89,Padron,Galician
90,Pallares,Galician
91,Parada,Galician
92,Parga,Galician
93,Patino,Galician
94,Pazos,Galician
95,Peredo,Galician
96,Perera,Galician
97,Pero,Galician
98,Perrino,Galician
99,Pineiro,Galician
100,Testa,Galician
101,Toca,Galician
102,Toran,Galician
103,Torre,Galician
104,Torres,Galician
105,Troche,Galician
106,Troncoso,Galician
107,Ulloa,Galician
108,Valdovinos,Galician
109,Vale,Galician
110,Vales,Galician
111,Valladares,Galician
112,Vallin,Galician
113,Vara,Galician
114,Varela,Galician
115,Varon,Galician
116,Vasquez,Galician
117,Vazquez,Galician
118,Verdugo,Galician
119,Vieira,Galician
120,Vieira,Galician
121,Viera,Galician
122,Vigo,Galician
123,Vina,Galician
124,Vinal,Galician
125,Vinas,Galician
126,Viveiros,Galician
127,Zea,Galician
