,name,origin
0,Abbas,German
1,Abbe,German
2,Abegglen,German
3,Abel,German
4,Abeln,German
5,Abend,German
6,Abendroth,German
7,Aber,German
8,Abitz,German
9,Abitz,German
10,Abke,German
11,Abt,German
12,Abts,German
13,Ach,German
14,Achatz,German
15,Achen,German
16,Achenbach,German
17,Achorn,German
18,Achter,German
19,Achterhof,German
20,Achziger,German
21,Achziger,German
22,Ackermann,German
23,Ackert,German
24,Ackert,German
25,Ackmann,German
26,Acord,German
27,Adami,German
28,Adamy,German
29,Addleman,German
30,Adel,German
31,Adelberg,German
32,Adelmann,German
33,Adelsberger,German
34,Adelsperger,German
35,Adelstein,German
36,Ader,German
37,Aderman,German
38,Aders,German
39,Adler,German
40,Adolf,German
41,Afflerbach,German
42,Affolter,German
43,Agler,German
44,Agricola,German
45,Ahl,German
46,Ahl,German
47,Ahl,German
48,Ahlbrecht,German
49,Ahles,German
50,Althaus,German
51,Altheide,German
52,Althen,German
53,Althoff,German
54,Altig,German
55,Altmann,German
56,Altmeyer,German
57,Altringer,German
58,Altstadt,German
59,Altvater,German
60,Amacher,German
61,Amaker,German
62,Amann,German
63,Amberg,German
64,Amberger,German
65,Amborn,German
66,Ambrosius,German
67,Ambs,German
68,Ambuehl,German
69,Amelung,German
70,Amend,German
71,Amendt,German
72,Ament,German
73,Ames,German
74,Ammer,German
75,Ammer,German
76,Ammon,German
77,Amrhein,German
78,Amsel,German
79,Amsler,German
80,Amthor,German
81,Anacker,German
82,Andelman,German
83,Ander,German
84,Anderer,German
85,Anderle,German
86,Anderman,German
87,Anders,German
88,Andes,German
89,Anding,German
90,Andler,German
91,Andler,German
92,Andra,German
93,Andrae,German
94,Andre,German
95,Andreae,German
96,Andris,German
97,Andrle,German
98,Angel,German
99,Angerhofer,German
100,Armold,German
101,Arms,German
102,Arndt,German
103,Arner,German
104,Arnhart,German
105,Arnhold,German
106,Arnholt,German
107,Arning,German
108,Arnoldi,German
109,Arnoldy,German
110,Arnot,German
111,Arnstein,German
112,Arp,German
113,Arras,German
114,Arth,German
115,Arth,German
116,Arth,German
117,Artz,German
118,Artzer,German
119,Arzt,German
120,Asch,German
121,Aschenbach,German
122,Aschenbrenner,German
123,Ascher,German
124,Ascher,German
125,Ascher,German
126,Aschoff,German
127,Asp,German
128,Assmann,German
129,Ast,German
130,Aster,German
131,Astle,German
132,Ater,German
133,Athmann,German
134,Attig,German
135,Aubel,German
136,Aubel,German
137,Aubert,German
138,Aubrecht,German
139,Aue,German
140,Auen,German
141,Auer,German
142,Auerbach,German
143,Aufderheide,German
144,Aug,German
145,Auge,German
146,Auge,German
147,Augenstein,German
148,Auger,German
149,Augsburger,German
150,Bachtel,German
151,Backe,German
152,Backes,German
153,Backhaus,German
154,Backman,German
155,Backman,German
156,Backs,German
157,Bader,German
158,Badertscher,German
159,Baecker,German
160,Baeder,German
161,Baehler,German
162,Baehler,German
163,Baehr,German
164,Baer,German
165,Baerg,German
166,Baerwald,German
167,Baese,German
168,Baessler,German
169,Baessler,German
170,Baetz,German
171,Bahe,German
172,Bahler,German
173,Bahler,German
174,Bahlmann,German
175,Bahn,German
176,Bahn,German
177,Bahner,German
178,Bahre,German
179,Bahrenburg,German
180,Bahrke,German
181,Baier,German
182,Bailen,German
183,Bainter,German
184,Baitinger,German
185,Bake,German
186,Balbach,German
187,Balder,German
188,Balder,German
189,Baldinger,German
190,Baldner,German
191,Balfanz,German
192,Balk,German
193,Balke,German
194,Balke,German
195,Ballas,German
196,Baller,German
197,Balles,German
198,Ballin,German
199,Balling,German
200,Banwart,German
201,Banzhaf,German
202,Bapst,German
203,Barbe,German
204,Barck,German
205,Bareis,German
206,Bares,German
207,Barfknecht,German
208,Barfknecht,German
