,name,origin
0,Agne,Greek
1,Agnes,Greek
2,Agnes,Greek
3,Alanis,Greek
4,Alexopoulos,Greek
5,Ambrosia,Greek
6,Anagnos,Greek
7,Anastas,Greek
8,Anastos,Greek
9,Andreadis,Greek
10,Andreas,Greek
11,Andris,Greek
12,Angelis,Greek
13,Angelopoulos,Greek
14,Anthes,Greek
15,Anthis,Greek
16,Antoni,Greek
17,Antoniou,Greek
18,Antonopoulos,Greek
19,Apostolos,Greek
20,Apostolou,Greek
21,Argyros,Greek
22,Artino,Greek
23,Arvanitis,Greek
24,Asker,Greek
25,Athan,Greek
26,Athanas,Greek
27,Athanasiou,Greek
28,Athans,Greek
29,Athas,Greek
30,Bakas,Greek
31,Bakas,Greek
32,Balaban,Greek
33,Ballas,Greek
34,Balli,Greek
35,Ballis,Greek
36,Ballis,Greek
37,Banis,Greek
38,Barba,Greek
39,Barbas,Greek
40,Barberis,Greek
41,Barlas,Greek
42,Baros,Greek
43,Bella,Greek
44,Biros,Greek
45,Booras,Greek
46,Boosalis,Greek
47,Bouras,Greek
48,Buros,Greek
49,Callas,Greek
50,Ganas,Greek
51,Ganas,Greek
52,Ganis,Greek
53,Garis,Greek
54,Gekas,Greek
55,Georgas,Greek
56,Georgiades,Greek
57,Georgiadis,Greek
58,Georgiou,Greek
59,Georgopoulos,Greek
60,German,Greek
61,Gerou,Greek
62,Gianakos,Greek
63,Giannopoulos,Greek
64,Gianopoulos,Greek
65,Gikas,Greek
66,Glaros,Greek
67,Goga,Greek
68,Gogola,Greek
69,Golias,Greek
70,Gonce,Greek
71,Goulas,Greek
72,Gounaris,Greek
73,Grivas,Greek
74,Halkias,Greek
75,Hallas,Greek
76,Hanas,Greek
77,Harris,Greek
78,Hatzis,Greek
79,Hero,Greek
80,Herod,Greek
81,Hondros,Greek
82,Ioannou,Greek
83,Kairis,Greek
84,Kakos,Greek
85,Kalfas,Greek
86,Kalivas,Greek
87,Kallas,Greek
88,Kallis,Greek
89,Kamber,Greek
90,Kanas,Greek
91,Kanelos,Greek
92,Kappas,Greek
93,Kara,Greek
94,Karahalios,Greek
95,Karalis,Greek
96,Karalis,Greek
97,Karas,Greek
98,Karras,Greek
99,Karras,Greek
100,Maragos,Greek
101,Maras,Greek
102,Marinos,Greek
103,Maris,Greek
104,Markos,Greek
105,Martis,Greek
106,Mate,Greek
107,Mates,Greek
108,Matis,Greek
109,Mattas,Greek
110,Mattas,Greek
111,Matthias,Greek
112,Mavros,Greek
113,Mega,Greek
114,Melis,Greek
115,Mellas,Greek
116,Mellis,Greek
117,Mena,Greek
118,Metaxas,Greek
119,Metro,Greek
120,Michaelides,Greek
121,Michel,Greek
122,Mihal,Greek
123,Mikos,Greek
124,Milas,Greek
125,Milonas,Greek
126,Mina,Greek
127,Minas,Greek
128,Minga,Greek
129,Mires,Greek
130,Miron,Greek
131,Misko,Greek
132,Mola,Greek
133,Moraitis,Greek
134,Moros,Greek
135,Mula,Greek
136,Mundis,Greek
137,Myron,Greek
138,Nanos,Greek
139,Nanos,Greek
140,Nasso,Greek
141,Nicolaides,Greek
142,Nicolaou,Greek
143,Nicoli,Greek
144,Nicolo,Greek
145,Nikas,Greek
146,Nikitas,Greek
147,Nikolas,Greek
148,Nini,Greek
149,Nino,Greek
150,Remis,Greek
151,Rigas,Greek
152,Rines,Greek
153,Roda,Greek
154,Rodi,Greek
155,Rodia,Greek
156,Rodis,Greek
157,Rodis,Greek
158,Rokos,Greek
159,Romanos,Greek
160,Ronda,Greek
161,Rondo,Greek
162,Rosi,Greek
163,Rosso,Greek
164,Rota,Greek
165,Roussos,Greek
166,Rubis,Greek
167,Rubis,Greek
168,Sagona,Greek
169,Salis,Greek
170,Sallas,Greek
171,Sallis,Greek
172,Samaras,Greek
173,Sanna,Greek
174,Sarantos,Greek
175,Sarkis,Greek
176,Sarris,Greek
177,Sava,Greek
178,Savas,Greek
179,Sica,Greek
180,Sideris,Greek
181,Simos,Greek
182,Simos,Greek
183,Simos,Greek
184,Siska,Greek
185,Sisko,Greek
186,Soter,Greek
187,Sotir,Greek
188,Sotiropoulos,Greek
189,Soulis,Greek
190,Spanos,Greek
191,Speros,Greek
192,Spiros,Greek
193,Stamas,Greek
194,Stamatis,Greek
195,Stamos,Greek
196,Stanis,Greek
197,Stathakis,Greek
198,Stathis,Greek
199,Stathopoulos,Greek
