,name,origin
0,Adami,Hungarian
1,Adami,Hungarian
2,Adan,Hungarian
3,Agnes,Hungarian
4,Agoston,Hungarian
5,Alberti,Hungarian
6,Alberti,Hungarian
7,Albo,Hungarian
8,Almas,Hungarian
9,Almasi,Hungarian
10,Almasy,Hungarian
11,Anda,Hungarian
12,Ando,Hungarian
13,Andras,Hungarian
14,Antal,Hungarian
15,Antalek,Hungarian
16,Antos,Hungarian
17,Apa,Hungarian
18,Apa,Hungarian
19,Aper,Hungarian
20,Apostol,Hungarian
21,Araki,Hungarian
22,Aros,Hungarian
23,Arvay,Hungarian
24,Asa,Hungarian
25,Baba,Hungarian
26,Baca,Hungarian
27,Baka,Hungarian
28,Bako,Hungarian
29,Bako,Hungarian
30,Bakos,Hungarian
31,Baksa,Hungarian
32,Baksa,Hungarian
33,Bala,Hungarian
34,Balas,Hungarian
35,Balazs,Hungarian
36,Baldi,Hungarian
37,Bali,Hungarian
38,Balik,Hungarian
39,Balint,Hungarian
40,Balis,Hungarian
41,Balko,Hungarian
42,Balla,Hungarian
43,Ballo,Hungarian
44,Balog,Hungarian
45,Balogh,Hungarian
46,Ban,Hungarian
47,Ban,Hungarian
48,Banda,Hungarian
49,Bandi,Hungarian
50,Berkes,Hungarian
51,Berko,Hungarian
52,Bernat,Hungarian
53,Bernath,Hungarian
54,Berta,Hungarian
55,Berte,Hungarian
56,Berti,Hungarian
57,Berto,Hungarian
58,Bice,Hungarian
59,Birge,Hungarian
60,Biro,Hungarian
61,Bitto,Hungarian
62,Bobo,Hungarian
63,Boda,Hungarian
64,Boda,Hungarian
65,Bodi,Hungarian
66,Bodi,Hungarian
67,Bodi,Hungarian
68,Bodnar,Hungarian
69,Bodo,Hungarian
70,Bodoh,Hungarian
71,Bodor,Hungarian
72,Body,Hungarian
73,Bogar,Hungarian
74,Bogdan,Hungarian
75,Bognar,Hungarian
76,Bokor,Hungarian
77,Bolda,Hungarian
78,Bolla,Hungarian
79,Boller,Hungarian
80,Bon,Hungarian
81,Bona,Hungarian
82,Bondi,Hungarian
83,Bone,Hungarian
84,Boni,Hungarian
85,Bonis,Hungarian
86,Bono,Hungarian
87,Bonta,Hungarian
88,Bora,Hungarian
89,Borbely,Hungarian
90,Borda,Hungarian
91,Bordas,Hungarian
92,Boris,Hungarian
93,Boro,Hungarian
94,Boros,Hungarian
95,Boros,Hungarian
96,Bors,Hungarian
97,Bors,Hungarian
98,Borsos,Hungarian
99,Borsos,Hungarian
100,Don,Hungarian
101,Dona,Hungarian
102,Donath,Hungarian
103,Dora,Hungarian
104,Dore,Hungarian
105,Dorko,Hungarian
106,Dorman,Hungarian
107,Doro,Hungarian
108,Dory,Hungarian
109,Duba,Hungarian
110,Dubay,Hungarian
111,Duca,Hungarian
112,Duda,Hungarian
113,Dudas,Hungarian
114,Dul,Hungarian
115,Dulay,Hungarian
116,Dunay,Hungarian
117,Dusza,Hungarian
118,Dutka,Hungarian
119,Edes,Hungarian
120,Eger,Hungarian
121,Elek,Hungarian
122,Elo,Hungarian
123,Endris,Hungarian
124,Erdelyi,Hungarian
125,Erdos,Hungarian
126,Erdos,Hungarian
127,Eros,Hungarian
128,Estok,Hungarian
129,Fabiani,Hungarian
130,Farago,Hungarian
131,Farkas,Hungarian
132,Farkas,Hungarian
133,Fata,Hungarian
134,Fazekas,Hungarian
135,Feher,Hungarian
136,Fejes,Hungarian
137,Fekete,Hungarian
138,Ferenc,Hungarian
139,Ference,Hungarian
140,Ferencz,Hungarian
141,Ferko,Hungarian
142,Fero,Hungarian
143,File,Hungarian
144,Files,Hungarian
145,Files,Hungarian
146,Flora,Hungarian
147,Fodor,Hungarian
148,Forgacs,Hungarian
149,Foti,Hungarian
150,Horvath,Hungarian
151,Horwath,Hungarian
152,Huszar,Hungarian
153,Igo,Hungarian
154,Illes,Hungarian
155,Imre,Hungarian
156,Istvan,Hungarian
157,Jakab,Hungarian
158,Jambor,Hungarian
159,Jank,Hungarian
160,Janka,Hungarian
161,Janos,Hungarian
162,Jaros,Hungarian
163,Javor,Hungarian
164,Jo,Hungarian
165,Joo,Hungarian
166,Joos,Hungarian
167,Joost,Hungarian
168,Juhasz,Hungarian
169,Kaba,Hungarian
170,Kacer,Hungarian
171,Kaczor,Hungarian
172,Kadar,Hungarian
173,Kadar,Hungarian
174,Kakos,Hungarian
175,Kakos,Hungarian
176,Kalas,Hungarian
177,Kaldor,Hungarian
178,Kalis,Hungarian
179,Kallay,Hungarian
180,Kalman,Hungarian
181,Kalmar,Hungarian
182,Kamara,Hungarian
183,Kanady,Hungarian
184,Kapler,Hungarian
185,Kaplon,Hungarian
186,Karas,Hungarian
187,Kardos,Hungarian
188,Kari,Hungarian
189,Karman,Hungarian
190,Karoly,Hungarian
191,Karoly,Hungarian
192,Karoly,Hungarian
193,Kasa,Hungarian
194,Kassa,Hungarian
195,Kassay,Hungarian
196,Kasza,Hungarian
197,Kasza,Hungarian
198,Katko,Hungarian
199,Kato,Hungarian
200,Kurucz,Hungarian
201,Kus,Hungarian
202,Laboda,Hungarian
203,Laboda,Hungarian
204,Lack,Hungarian
205,Lacko,Hungarian
206,Lada,Hungarian
207,Lada,Hungarian
208,Ladas,Hungarian
209,Laday,Hungarian
210,Lady,Hungarian
211,Lakatos,Hungarian
212,Lamos,Hungarian
213,Lando,Hungarian
214,Landor,Hungarian
215,Lang,Hungarian
216,Lanyi,Hungarian
217,Laska,Hungarian
218,Laski,Hungarian
219,Laszlo,Hungarian
220,Lato,Hungarian
221,Leder,Hungarian
222,Lenart,Hungarian
223,Lengyel,Hungarian
224,Lenke,Hungarian
225,Levay,Hungarian
226,Lodi,Hungarian
227,Lora,Hungarian
228,Lore,Hungarian
229,Lorincz,Hungarian
230,Lovas,Hungarian
231,Luca,Hungarian
232,Lukacs,Hungarian
233,Macho,Hungarian
234,Madar,Hungarian
235,Madaras,Hungarian
236,Maday,Hungarian
237,Mady,Hungarian
238,Magyar,Hungarian
239,Major,Hungarian
240,Majoros,Hungarian
241,Mak,Hungarian
242,Mako,Hungarian
243,Mandy,Hungarian
244,Mango,Hungarian
245,Manko,Hungarian
246,Mar,Hungarian
247,Mara,Hungarian
248,Mari,Hungarian
249,Marko,Hungarian
250,Nemes,Hungarian
251,Nemet,Hungarian
252,Nemeth,Hungarian
253,Odor,Hungarian
254,Olah,Hungarian
255,Oles,Hungarian
256,Ondo,Hungarian
257,Onufer,Hungarian
258,Orban,Hungarian
259,Ori,Hungarian
260,Orman,Hungarian
261,Oros,Hungarian
262,Orosz,Hungarian
263,Orsi,Hungarian
264,Orso,Hungarian
265,Ory,Hungarian
266,Ose,Hungarian
267,Paci,Hungarian
268,Pal,Hungarian
269,Palinkas,Hungarian
270,Palko,Hungarian
271,Pall,Hungarian
272,Palla,Hungarian
273,Pallay,Hungarian
274,Paller,Hungarian
275,Pallo,Hungarian
276,Palos,Hungarian
277,Panko,Hungarian
278,Pap,Hungarian
279,Papa,Hungarian
280,Papay,Hungarian
281,Papp,Hungarian
282,Parady,Hungarian
283,Pardi,Hungarian
284,Paris,Hungarian
285,Pasko,Hungarian
286,Patak,Hungarian
287,Pataki,Hungarian
288,Pataky,Hungarian
289,Pelley,Hungarian
290,Pere,Hungarian
291,Peri,Hungarian
292,Pesta,Hungarian
293,Pete,Hungarian
294,Petek,Hungarian
295,Petko,Hungarian
296,Peto,Hungarian
297,Petri,Hungarian
298,Petro,Hungarian
299,Petrus,Hungarian
300,Sera,Hungarian
301,Sereda,Hungarian
302,Seres,Hungarian
303,Siko,Hungarian
304,Silas,Hungarian
305,Silvas,Hungarian
306,Sima,Hungarian
307,Simko,Hungarian
308,Simo,Hungarian
309,Sindel,Hungarian
310,Sinko,Hungarian
311,Sipos,Hungarian
312,Siroky,Hungarian
313,Sita,Hungarian
314,Skultety,Hungarian
315,So,Hungarian
316,Soltesz,Hungarian
317,Som,Hungarian
318,Somogyi,Hungarian
319,Soos,Hungarian
320,Stollar,Hungarian
321,Suba,Hungarian
322,Sugar,Hungarian
323,Sule,Hungarian
324,Suri,Hungarian
325,Susa,Hungarian
326,Suto,Hungarian
327,Szabo,Hungarian
328,Szakacs,Hungarian
329,Szala,Hungarian
330,Szalay,Hungarian
331,Szanto,Hungarian
332,Szarka,Hungarian
333,Szasz,Hungarian
334,Szekely,Hungarian
335,Szekeres,Hungarian
336,Szilagyi,Hungarian
337,Szoke,Hungarian
338,Szucs,Hungarian
339,Tabor,Hungarian
340,Takacs,Hungarian
341,Tamas,Hungarian
342,Tamasi,Hungarian
343,Tardy,Hungarian
344,Terek,Hungarian
345,Tibor,Hungarian
346,Timar,Hungarian
347,Timko,Hungarian
348,Tirpak,Hungarian
349,Topa,Hungarian
