,name,origin
0,Acharya,Indian
1,Agarwal,Indian
2,Agate,Indian
3,Aggarwal,Indian
4,Agrawal,Indian
5,Ahluwalia,Indian
6,Ahuja,Indian
7,Amble,Indian
8,Anand,Indian
9,Andra,Indian
10,Anne,Indian
11,Apte,Indian
12,Arora,Indian
13,Arya,Indian
14,Atwal,Indian
15,Aurora,Indian
16,Babu,Indian
17,Badal,Indian
18,Badami,Indian
19,Bahl,Indian
20,Bahri,Indian
21,Bail,Indian
22,Bains,Indian
23,Bajaj,Indian
24,Bajwa,Indian
25,Bakshi,Indian
26,Bal,Indian
27,Bala,Indian
28,Bala,Indian
29,Balakrishnan,Indian
30,Balan,Indian
31,Balasubramanian,Indian
32,Balay,Indian
33,Bali,Indian
34,Bandi,Indian
35,Banerjee,Indian
36,Banik,Indian
37,Bansal,Indian
38,Barad,Indian
39,Barad,Indian
40,Baral,Indian
41,Baria,Indian
42,Barman,Indian
43,Basak,Indian
44,Bassi,Indian
45,Basu,Indian
46,Bath,Indian
47,Batra,Indian
48,Batta,Indian
49,Bava,Indian
50,Chaudhari,Indian
51,Chaudhary,Indian
52,Chaudhry,Indian
53,Chaudhuri,Indian
54,Chaudry,Indian
55,Chauhan,Indian
56,Chawla,Indian
57,Cheema,Indian
58,Cherian,Indian
59,Chhabra,Indian
60,Chokshi,Indian
61,Chopra,Indian
62,Choudhary,Indian
63,Choudhry,Indian
64,Choudhury,Indian
65,Chowdhury,Indian
66,Comar,Indian
67,Contractor,Indian
68,D’Alia,Indian
69,Dada,Indian
70,Dalal,Indian
71,Dani,Indian
72,Dar,Indian
73,Dara,Indian
74,Dara,Indian
75,Das,Indian
76,Dasgupta,Indian
77,Dash,Indian
78,Dass,Indian
79,Date,Indian
80,Datta,Indian
81,Dave,Indian
82,Dayal,Indian
83,De,Indian
84,Deep,Indian
85,Deo,Indian
86,Deol,Indian
87,Desai,Indian
88,Deshmukh,Indian
89,Deshpande,Indian
90,Devan,Indian
91,Devi,Indian
92,Dewan,Indian
93,Dey,Indian
94,Dhaliwal,Indian
95,Dhar,Indian
96,Dhar,Indian
97,Dhawan,Indian
98,Dhillon,Indian
99,Dhingra,Indian
100,Hayre,Indian
101,Hegde,Indian
102,Hora,Indian
103,Issac,Indian
104,Iyengar,Indian
105,Iyer,Indian
106,Jaggi,Indian
107,Jain,Indian
108,Jani,Indian
109,Jayaraman,Indian
110,Jha,Indian
111,Jhaveri,Indian
112,Johal,Indian
113,Joshi,Indian
114,Kadakia,Indian
115,Kade,Indian
116,Kakar,Indian
117,Kala,Indian
118,Kala,Indian
119,Kala,Indian
120,Kale,Indian
121,Kalita,Indian
122,Kalla,Indian
123,Kamdar,Indian
124,Kanda,Indian
125,Kannan,Indian
126,Kant,Indian
127,Kapadia,Indian
128,Kapoor,Indian
129,Kapur,Indian
130,Kar,Indian
131,Kara,Indian
132,Karan,Indian
133,Kari,Indian
134,Karnik,Indian
135,Karpe,Indian
136,Kashyap,Indian
137,Kata,Indian
138,Kaul,Indian
139,Kaur,Indian
140,Keer,Indian
141,Keer,Indian
142,Khalsa,Indian
143,Khanna,Indian
144,Khare,Indian
145,Khatri,Indian
146,Khosla,Indian
147,Khurana,Indian
148,Kibe,Indian
149,Kohli,Indian
150,Mathai,Indian
151,Mathur,Indian
152,Matthai,Indian
153,Meda,Indian
154,Mehan,Indian
155,Mehra,Indian
156,Mehrotra,Indian
157,Mehta,Indian
158,Meka,Indian
159,Memon,Indian
160,Menon,Indian
161,Merchant,Indian
162,Minhas,Indian
163,Mishra,Indian
164,Misra,Indian
165,Mistry,Indian
166,Mital,Indian
167,Mitra,Indian
168,Mittal,Indian
169,Mitter,Indian
170,Modi,Indian
171,Mody,Indian
172,Mohan,Indian
