,name,origin
0,Abate,Italian
1,Abato,Italian
2,Abbruzzese,Italian
3,Abela,Italian
4,Abella,Italian
5,Abramo,Italian
6,Abruzzese,Italian
7,Abruzzo,Italian
8,Accardi,Italian
9,Accardo,Italian
10,Accetta,Italian
11,Accomando,Italian
12,Accordino,Italian
13,Aceto,Italian
14,Achille,Italian
15,Acierno,Italian
16,Acquaviva,Italian
17,Acquisto,Italian
18,Acri,Italian
19,Adami,Italian
20,Adamo,Italian
21,Addonizio,Italian
22,Adduci,Italian
23,Adinolfi,Italian
24,Adornetto,Italian
25,Adorno,Italian
26,Adragna,Italian
27,Affinito,Italian
28,Agnello,Italian
29,Agnello,Italian
30,Agosta,Italian
31,Agosti,Italian
32,Agostinelli,Italian
33,Agostini,Italian
34,Agostino,Italian
35,Agosto,Italian
36,Agosto,Italian
37,Agrella,Italian
38,Agresta,Italian
39,Agresti,Italian
40,Agro,Italian
41,Agro,Italian
42,Agrusa,Italian
43,Ajello,Italian
44,Alagna,Italian
45,Alaimo,Italian
46,Alario,Italian
47,Albani,Italian
48,Albano,Italian
49,Albergo,Italian
50,Amantea,Italian
51,Amara,Italian
52,Amarante,Italian
53,Amari,Italian
54,Amaro,Italian
55,Amato,Italian
56,Amatucci,Italian
57,Ambrogi,Italian
58,Ambrogio,Italian
59,Ambrosi,Italian
60,Ambrosia,Italian
61,Ambrosini,Italian
62,Ambrosino,Italian
63,Ambrosio,Italian
64,Amedeo,Italian
65,Amelio,Italian
66,Amici,Italian
67,Amico,Italian
68,Amicone,Italian
69,Amidei,Italian
70,Ammirati,Italian
71,Amodei,Italian
72,Amodeo,Italian
73,Amodio,Italian
74,Amore,Italian
75,Amore,Italian
76,Amorosi,Italian
77,Amoroso,Italian
78,Amoroso,Italian
79,Anastasi,Italian
80,Anastasia,Italian
81,Anastasia,Italian
82,Anastasio,Italian
83,Ancona,Italian
84,Andolina,Italian
85,Andrea,Italian
86,Andreano,Italian
87,Andreini,Italian
88,Andreola,Italian
89,Andreoli,Italian
90,Andreotti,Italian
91,Andreozzi,Italian
92,Andriano,Italian
93,Andriola,Italian
94,Anello,Italian
95,Angeletti,Italian
96,Angeli,Italian
97,Angelico,Italian
98,Angelillo,Italian
99,Angelini,Italian
100,Argenio,Italian
101,Argenta,Italian
102,Argenta,Italian
103,Argenti,Italian
104,Argentieri,Italian
105,Argento,Italian
106,Argenziano,Italian
107,Argiro,Italian
108,Argo,Italian
109,Arlotta,Italian
110,Armani,Italian
111,Armanini,Italian
112,Armato,Italian
113,Armellino,Italian
114,Armenia,Italian
115,Armenti,Italian
116,Armento,Italian
117,Armetta,Italian
118,Arno,Italian
119,Arnoldi,Italian
120,Arola,Italian
121,Arone,Italian
122,Arpino,Italian
123,Arrighi,Italian
124,Arrigo,Italian
125,Arrigoni,Italian
126,Artale,Italian
127,Artale,Italian
128,Artino,Italian
129,Artuso,Italian
130,Asaro,Italian
131,Assante,Italian
132,Asti,Italian
133,Attanasio,Italian
134,Attardo,Italian
135,Auciello,Italian
136,Audi,Italian
137,Audia,Italian
138,Audino,Italian
139,Aufiero,Italian
140,Augello,Italian
141,Augeri,Italian
142,Augusta,Italian
143,Augustino,Italian
144,Aurelio,Italian
145,Auricchio,Italian
146,Auriemma,Italian
147,Aurilio,Italian
148,Avara,Italian
149,Avella,Italian
150,Bambino,Italian
151,Bamonte,Italian
152,Banchero,Italian
153,Bandi,Italian
154,Banducci,Italian
155,Baranello,Italian
156,Baratta,Italian
157,Barba,Italian
158,Barbagallo,Italian
159,Barbano,Italian
